date,pb_source,putWall,callWall,current,emLower,emUpper,r1,r2,s1,s2,scenario,scen_name,trigger_text,bias_text,trig_kind,trig_level,structure,target1,target2,trig_lo,trig_hi,short_hint
2026-04-09,ai,6700.0,7000.0,6783.0,,,6645.0,6674.0,6562.0,6506.0,alternative,Breakout Continuation,Holding > 6874.0 (upside expected move target) after 08:30 ET PCE release,WAIT for PCE data before entry. Post-catalyst bull call spread (6874/7000) if price sustains above 6874.0; target the Call Wall at 7000.0 with defined risk.,above,6874.0,bull_call_debit,7000.0,,,,
2026-04-09,ai,6700.0,7000.0,6783.0,,,6645.0,6674.0,6562.0,6506.0,neutral,Rangebound Chop,Contained between 6700.0 and 7000.0 post-08:30 ET PCE resolution,"WAIT for PCE data before entry. Positive gamma supports mean-reversion; deploy iron condor with short strikes at 6700.0 put side and 7000.0 call side, collecting premium inside the wall range.",between,,iron_condor,,,6700.0,7000.0,6700.0
2026-04-10,ai,6800.0,7000.0,6825.0,,,6804.0,6825.0,6751.0,6719.0,primary,Rally Toward Flip,Holding > 6800 post-CPI (Vol Compression toward 6900),"WAIT for CPI at 08:30 ET before entry. In positive gamma with ES above Put Wall at 6800 and gapping up, fade-resistant grind toward GEX Flip at 6900 is favored. Deploy a bull call debit spread targeting 6900, or sell a put credit spread with short leg near 6800 to collect premium in dampened-move en",above,6800.0,bull_call_debit,6900.0,,,,
2026-04-10,ai,6800.0,7000.0,6825.0,,,6804.0,6825.0,6751.0,6719.0,alternative,CPI Shock Breakdown,"Break < 6800 post-CPI (Put Wall Breach, Vol Expansion)",WAIT for CPI at 08:30 ET before entry. A hot CPI print breaking ES below Put Wall at 6800 flips dealer hedging from supportive to amplifying — target S1 at 6751 and S2 at 6719. Use a bear put debit spread (short 6751 / long 6800) or a put vertical to define risk on the downside continuation.,below,6800.0,bear_put_debit,6751.0,6719.0,,,
2026-04-10,ai,6800.0,7000.0,6825.0,,,6804.0,6825.0,6751.0,6719.0,neutral,Rangebound Chop,Contained between 6800 (Put Wall) and 7000 (Call Wall) post-CPI,"WAIT for CPI at 08:30 ET before entry. Positive gamma suppresses directional expansion — if ES oscillates between 6800 and 7000 with no breakout, sell an iron condor with short strikes at 6800 put side and 7000 call side, using 6719 (S2) and upside expected move reach 6908 as wing anchors to define ",between,,iron_condor,,,6800.0,7000.0,6800.0
2026-04-13,ai,6800.0,7000.0,6817.0,,,6853.0,6881.0,6779.0,6733.0,primary,Rangebound Mean Reversion,Holding > 6800 (Put Wall Support),"Positive gamma dampens directional moves; ES between walls with bearish flip lean favors range compression. Sell iron condors using 6800 put wall as lower anchor and 7000 call wall as upper anchor, targeting premium decay.",above,6800.0,iron_condor,,,,,
2026-04-13,ai,6800.0,7000.0,6817.0,,,6853.0,6881.0,6779.0,6733.0,alternative,Breakdown Expansion,Break < 6800 (Put Wall Breach),"A confirmed break below 6800 removes put wall support and exposes S1 at 6779 and S2 at 6733. Deploy a bear put debit spread targeting 6733, using 6800 as the short strike reference for a defined-risk vertical.",below,6800.0,bear_put_debit,6733.0,,,,
2026-04-13,ai,6800.0,7000.0,6817.0,,,6853.0,6881.0,6779.0,6733.0,neutral,Chop Inside Range,Holding between 6800 and 7000 (Put Wall to Call Wall),"ES drifting within the 6800–7000 corridor with no directional catalyst; favor iron condors with short strikes at R1 6853 and S1 6779, collecting theta while positive gamma suppresses breakout attempts.",between,,iron_condor,,,6800.0,7000.0,
2026-04-14,,6800.0,7000.0,6886.0,,,6839.0,6861.0,6802.0,6786.0,NONE,,,,no-playbook,,,,,,,
2026-04-15,ai,6950.0,7000.0,6967.0,,,6919.0,6951.0,6822.0,6757.0,primary,Bullish Mean Reversion,Holding > 6950 (Put Wall) after 08:30 ET NY Empire State release,"WAIT for NY Empire State data before entry. In positive gamma, dealers dampen moves and fade extremes — structure a bull call spread targeting 7000 (Call Wall) using strikes near 6950/7000. Risk is defined and capped at the call wall.",above,6950.0,bull_call_debit,7000.0,,,,
2026-04-15,ai,6950.0,7000.0,6967.0,,,6919.0,6951.0,6822.0,6757.0,alternative,Breakdown Reversal,Break < 6950 (Put Wall) with follow-through to 6900 (GEX Flip),"WAIT for 08:30 ET catalyst to resolve before entering. If ES loses 6950 on volume, initiate a bear put spread using 6950/6900 strikes. Positive gamma means dealers will buy dips, so size conservatively and target 6900 as the limit.",below,6950.0,bear_put_debit,6900.0,,,,
2026-04-15,ai,6950.0,7000.0,6967.0,,,6919.0,6951.0,6822.0,6757.0,neutral,Rangebound Chop,ES oscillates between 6950 (Put Wall) and 7000 (Call Wall) post-08:30 ET,"WAIT for NY Empire State print, then sell an iron condor with short strikes at 6950 put side and 7000 call side, wings at 6822 (S1) and 7048 (upside EM target). Positive gamma suppresses breakouts — collect premium within the wall range.",between,,iron_condor,,,6950.0,7000.0,6950.0
2026-04-16,ai,7000.0,7050.0,7023.0,,,6989.0,7012.0,6925.0,6883.0,primary,Rangebound Compression,Holding between 7000 and 7050 (Positive Gamma Dampening),Positive gamma with ES pinned between Put Wall 7000 and Call Wall 7050 favors mean-reversion and range compression. Deploy an iron condor selling the 7000/6975 put spread and 7050/7075 call spread to harvest premium within the walls.,between,,iron_condor,,,7000.0,7050.0,
2026-04-16,ai,7000.0,7050.0,7023.0,,,6989.0,7012.0,6925.0,6883.0,alternative,Breakout Rally,Sustained hold > 7050 (Call Wall Breach),"A confirmed close above 7050 signals dealer short-gamma hedging pressure to the upside toward 7104. Enter a bull call debit spread targeting the 7050/7104 range, keeping defined risk on any retest of 7050.",above,7050.0,bull_call_debit,7104.0,,,,
2026-04-16,ai,7000.0,7050.0,7023.0,,,6989.0,7012.0,6925.0,6883.0,neutral,Drift and Fade,Failure to hold > 7000 (Put Wall Support Lost),"A break below 7000 Put Wall opens a path toward S1 at 6925 and potentially S2 at 6883. Use a bear put debit spread on a confirmed breakdown below 7000, targeting 6925 as the initial exit level.",above,7000.0,bear_put_debit,6925.0,,,,
2026-04-17,ai,7000.0,7050.0,7041.0,,,7044.0,7065.0,6985.0,6946.0,primary,Upside Extension,Holding > 7044 (R1 Confirmation),"With ES just 9 pts below the 7050 Call Wall in positive gamma, a hold above R1 at 7044 sets up a grind toward 7050 and the upside expected move target at 7121. Use a bull call debit spread (e.g., 7050/7100) to define risk on continuation.",above,7044.0,bull_call_debit,7050.0,,,,
2026-04-17,ai,7000.0,7050.0,7041.0,,,7044.0,7065.0,6985.0,6946.0,alternative,Fade and Pullback,Break < 7000 (Put Wall Breakdown),"Rejection at the 7050 Call Wall with a break back below the 7000 Put Wall signals failed breakout and mean-reversion toward S1 at 6985 or S2 at 6946. Use a bear put debit spread (e.g., 7000/6950) or a put vertical to capture downside with defined risk.",below,7000.0,bear_put_debit,6985.0,,,,
2026-04-17,ai,7000.0,7050.0,7041.0,,,7044.0,7065.0,6985.0,6946.0,neutral,Rangebound Chop,Holding between 7000 and 7050 (Put Wall to Call Wall),"In positive gamma, dealers dampen moves within the 7000–7050 range, making premium selling attractive. Deploy an iron condor with short strikes at 7000 and 7050 and wings at 6946 (S2) and 7065 (R2) to collect theta while the range contains price.",between,,iron_condor,,,7000.0,7050.0,7000.0
2026-04-20,ai,7000.0,7150.0,7126.0,,,7059.0,7076.0,7016.0,6991.0,primary,Fade Gap Reversion,Rejection < 7150 (Call Wall resistance),Positive gamma dampens upside extension at the 7150 Call Wall; fade the gap with a bear call spread (7150/7200 strikes) targeting mean reversion toward 7059. Risk is defined and regime supports income structures.,below,7150.0,call_credit,7059.0,,,,
2026-04-20,ai,7000.0,7150.0,7126.0,,,7059.0,7076.0,7016.0,6991.0,alternative,Breakout Continuation Higher,Holding > 7150 (Call Wall / GEX Flip breakout),"If price clears and holds above 7150, dealers flip short gamma and must chase; deploy a bull call debit spread targeting the 7213 upside expected move reach. Enter only on confirmed close above 7150.",above,7150.0,bull_call_debit,7213.0,,,,
2026-04-20,ai,7000.0,7150.0,7126.0,,,7059.0,7076.0,7016.0,6991.0,neutral,Rangebound Chop,Contained between 7000 and 7150 (Put Wall to Call Wall range),Positive gamma pins price inside the 7000–7150 corridor; sell an iron condor with short strikes near 7000 put side and 7150 call side to harvest premium in the dampened-move environment.,between,,iron_condor,,,7000.0,7150.0,7000.0
2026-04-21,ai,7000.0,7150.0,7109.0,,,7158.0,7189.0,7085.0,7043.0,primary,Mean-Reversion Fade,Fade rejection at 7150 (Call Wall),Positive gamma dampens upside. Sell a call credit spread (7150/7200) or iron condor anchored at 7000 put wall and 7150 call wall. Target mean reversion back toward 7085 (S1).,reject_at,7150.0,iron_condor,7085.0,,,,
2026-04-21,ai,7000.0,7150.0,7109.0,,,7158.0,7189.0,7085.0,7043.0,alternative,Breakout Rally,Holding > 7150 (Call Wall breach with follow-through toward 7158 R1),"If price clears and holds above 7150, initiate a debit call spread (7150/7189) targeting R2 at 7189. Dealers forced to buy into breakout; size conservatively given positive gamma still limits amplitude.",above,7150.0,bull_call_debit,7189.0,,,,
2026-04-21,ai,7000.0,7150.0,7109.0,,,7158.0,7189.0,7085.0,7043.0,neutral,Rangebound Chop,Contained between 7000 (Put Wall) and 7150 (Call Wall),"Deploy an iron condor with short strikes at 7000 and 7150, wings at 6916 and 7234. Positive gamma supports range-bound price action; collect premium and manage at 50% profit.",between,,iron_condor,,,7000.0,7150.0,7000.0
2026-04-22,ai,7000.0,7100.0,7064.0,,,7126.0,7144.0,7088.0,7067.0,primary,Mean-Reversion Chop,Holding between 7000 and 7100 (Positive Gamma Range),Positive gamma dampens directional moves; fade rips toward 7100 and dips toward 7000. Deploy iron condors with short strikes at 7000/7100 or tight credit spreads selling calls near R1 at 7126 and puts near Put Wall at 7000.,between,,iron_condor,7100.0,,7000.0,7100.0,7000.0
2026-04-22,ai,7000.0,7100.0,7064.0,,,7126.0,7144.0,7088.0,7067.0,alternative,Upside Breakout Attempt,Sustained break > 7100 (Call Wall) confirmed hold above R1 at 7126,"If price clears 7100 and holds 7126, initiate a bull call debit spread targeting R2 at 7144 or the upside expected move reach at 7149. Keep width tight given positive gamma still limits extension.",above,7100.0,bull_call_debit,7144.0,,,,
2026-04-22,ai,7000.0,7100.0,7064.0,,,7126.0,7144.0,7088.0,7067.0,neutral,Rangebound Compression,ES oscillating between 7000 (Put Wall) and 7100 (Call Wall) without conviction,"Sell an iron condor with short put at 7000 and short call at 7100, wings at S2 6979 and R2 7144 to define max risk. Collect premium in low-VIX positive gamma environment; target 50% profit close.",between,,iron_condor,,,7000.0,7100.0,
2026-04-23,ai,7000.0,7150.0,7138.0,,,7117.0,7171.0,7030.0,6997.0,primary,Call Wall Rejection,Fade < 7150 (Call Wall resistance),Positive gamma dampens momentum; fade the 7150 Call Wall with a bear call spread (7150/7171 strikes) targeting reversion toward 7117 (R1). Keep size modest given large overnight gap already in price.,below,7150.0,call_credit,7117.0,,,,
2026-04-23,ai,7000.0,7150.0,7138.0,,,7117.0,7171.0,7030.0,6997.0,alternative,Breakout Continuation,Holding > 7150 (Call Wall breakout confirmed),A clean close above 7150 with positive gamma flipping bullish targets 7171 (R2) and the 7227 upside expected move. Use a bull call debit spread (7150/7171) to define risk on continuation.,above,7150.0,bull_call_debit,7171.0,7227.0,,,
2026-04-23,ai,7000.0,7150.0,7138.0,,,7117.0,7171.0,7030.0,6997.0,neutral,Rangebound Chop,Oscillating between 7000 and 7150 (Put Wall to Call Wall),"In positive gamma with ES pinned near 7150, structure an iron condor selling the 7000 put side and 7150 call side with wings at 6997 (S2) and 7171 (R2) to harvest theta in a compressed range.",between,,iron_condor,,,7000.0,7150.0,
2026-04-24,ai,7000.0,7150.0,7108.0,,,7150.0,7162.0,7114.0,7091.0,primary,Mean Reversion Chop,Holding between 7000 and 7150 (Positive Gamma Range),Positive gamma dampens directional moves; fade rallies toward 7150 Call Wall with bear call spreads (7150/7162) and sell put spreads on dips toward 7000 Put Wall. Iron condor 7000/7050 x 7150/7162 is the core structure.,between,,iron_condor,7150.0,,7000.0,7150.0,
2026-04-24,ai,7000.0,7150.0,7108.0,,,7150.0,7162.0,7114.0,7091.0,alternative,Breakout Rally Attempt,Holding > 7150 with acceptance above R1/Call Wall (Vol Expansion),A clean break and hold above 7150 opens a run toward 7162 R2 and the 7194 upside expected move target. Use bull call debit spreads (7150/7194) to define risk on momentum continuation.,above,7150.0,bull_call_debit,7162.0,,,,
2026-04-24,ai,7000.0,7150.0,7108.0,,,7150.0,7162.0,7114.0,7091.0,neutral,Rangebound Compression,ES oscillates between 7000 Put Wall and 7150 Call Wall intraday,Positive gamma keeps price pinned in the 7000–7150 band; deploy an iron condor selling the 7000 put side and 7150 call side with wings at S2 7091 and R2 7162 to collect premium in low-directional-conviction conditions.,between,,iron_condor,,,7000.0,7150.0,
2026-04-27,ai,7000.0,7200.0,7165.0,,,7155.0,7202.0,7054.0,7000.0,primary,Rally Into Resistance,Holding > 7155 (R1) targeting 7200.0 Call Wall / GEX Flip,"Positive gamma dampens moves — favor a bull call debit spread (e.g., 7155/7200) capturing the 35-pt gap to the Call Wall, but size conservatively as 7200 is a heavy resistance cluster where dealer selling intensifies.",above,7155.0,bull_call_debit,,,,,
2026-04-27,ai,7000.0,7200.0,7165.0,,,7155.0,7202.0,7054.0,7000.0,alternative,Fade and Pullback,Break < 7155 (R1) with follow-through toward 7054.0 (S1),"If price fails to hold R1 after the gap-up open, deploy a bear put debit spread (e.g., 7155/7054) targeting S1; positive gamma limits downside extension so keep width tight and avoid chasing beyond 7054.",below,7155.0,bear_put_debit,7054.0,,,,
2026-04-27,ai,7000.0,7200.0,7165.0,,,7155.0,7202.0,7054.0,7000.0,neutral,Rangebound Chop,Contained between 7000.0 (Put Wall / S2) and 7200.0 (Call Wall),"Positive gamma supports mean-reversion — sell an iron condor with short strikes at 7000 (put side) and 7200 (call side), wide enough to collect premium across the ±86 expected move envelope; manage actively if either wall is tested.",between,,iron_condor,,,7000.0,7200.0,7000.0
2026-04-28,ai,7000.0,7200.0,7174.0,,,7185.0,7205.0,7129.0,7093.0,primary,Rangebound Chop,Holding between 7000 and 7200 — WAIT for CB Consumer Confidence (10:00 ET) before entry,"Positive gamma dampens moves; fade edges of the 7000–7200 range. Favor iron condors with short strikes near 7000 put wall and 7200 call wall, or sell a narrow credit spread after the 10:00 ET catalyst resolves.",between,,iron_condor,,,7000.0,7200.0,7000.0
2026-04-28,ai,7000.0,7200.0,7174.0,,,7185.0,7205.0,7129.0,7093.0,alternative,Breakout Rally,Sustained hold > 7200 (Call Wall) post-10:00 ET catalyst — WAIT for CB Consumer Confidence before entry,"A confirmed close above 7200 shifts to borderline negative gamma amplification with dealer chasing. Use a bull call debit spread targeting 7257 (upside expected move), entered only after the catalyst confirms and 7200 holds as support.",above,7200.0,bull_call_debit,7257.0,7200.0,,,
2026-04-28,ai,7000.0,7200.0,7174.0,,,7185.0,7205.0,7129.0,7093.0,neutral,Breakdown Expansion,Break < 7129 (S1) after 10:00 ET — WAIT for CB Consumer Confidence before entry,"Failure at the 7180 GEX Flip and a break below S1 at 7129 opens downside toward S2 at 7093 and the 7091 expected move target. Use a bear put debit spread with long put near 7129 and short put near 7000 (put wall), entered only after catalyst resolution confirms directional pressure.",below,7129.0,bear_put_debit,7093.0,,,,
2026-04-29,ai,7000.0,7150.0,7139.0,,,7186.0,7198.0,7154.0,7134.0,primary,Rangebound Mean Reversion,Holding between 7000 and 7150 (Positive Gamma Containment),"WAIT for FOMC decision at 14:00 ET before entry. Favor iron condors or iron butterflies anchored inside the 7000 put wall / 7150 call wall range, selling premium toward the walls on any test of extremes post-catalyst.",between,,iron_condor,,,7000.0,7150.0,
2026-04-29,ai,7000.0,7150.0,7139.0,,,7186.0,7198.0,7154.0,7134.0,alternative,Breakout Continuation Higher,Holding > 7150 (Call Wall break confirmed post-FOMC),"WAIT for Fed decision at 14:00 ET before entry. On sustained hold above 7150, deploy a bull call debit spread targeting 7198 (R2) or 7220 (upside expected move target), with risk defined below 7150.",above,7150.0,bull_call_debit,7198.0,,,,
2026-04-29,ai,7000.0,7150.0,7139.0,,,7186.0,7198.0,7154.0,7134.0,neutral,Pre-FOMC Chop,Oscillating between 7000 and 7150 with no directional conviction,"WAIT for FOMC and Durable Goods (08:30 ET) to resolve before any entry. If ES futures remain pinned between 7000 and 7150, sell a narrow iron condor with short strikes at 7000 put wall and 7150 call wall, collecting premium in the positive gamma dampening zone.",between,,iron_condor,,,7000.0,7150.0,7000.0
2026-04-30,ai,7000.0,7150.0,7136.0,,,7156.0,7173.0,7118.0,7098.0,primary,Rangebound Call Wall Fade,Rejection at 7150 (Call Wall) after GDP resolves at 08:30 ET,"WAIT for GDP print at 08:30 ET before entry. If ES fades from 7150, initiate a bear call spread (7150/7175) or iron condor anchored between 7000 and 7150. Positive gamma dampens breakouts — favor income structures near Call Wall.",reject_at,7150.0,iron_condor,,,,,
2026-04-30,ai,7000.0,7150.0,7136.0,,,7156.0,7173.0,7118.0,7098.0,alternative,Upside Extension,Holding > 7150 (Call Wall) sustained after 08:30 ET GDP catalyst,"WAIT for GDP at 08:30 ET. If ES breaks and holds above 7150 Call Wall, use a bull debit spread targeting 7173 (R2) or 7218 (upside expected move reach). Size conservatively — positive gamma limits extension, so take profits quickly near R2.",above,7150.0,debit_spread_generic,7173.0,,,,
2026-04-30,ai,7000.0,7150.0,7136.0,,,7156.0,7173.0,7118.0,7098.0,neutral,Rangebound Chop,ES oscillates between 7000 (Put Wall) and 7150 (Call Wall) after 08:30 ET data clears,"WAIT for 08:30 ET GDP resolution. Deploy an iron condor with short strikes at 7000 put side and 7150 call side, wings at 6918 and 7232. Positive gamma regime favors this mean-reversion structure — collect premium while dealers absorb directional flow within the walls.",between,,iron_condor,,,7000.0,7150.0,7000.0
2026-05-01,ai,7000.0,7300.0,7209.0,,,7152.0,7168.0,7114.0,7092.0,primary,Rangebound Mean Reversion,Holding between 7000 and 7300 (Positive Gamma Dampening),WAIT for Atlanta Fed GDPNow (11:30 ET) before entry. Fade moves toward walls using iron condors with wings at 7000 put wall and 7300 call wall; positive gamma keeps dealers as a counterforce dampening extension.,between,,iron_condor,7000.0,,7000.0,7300.0,
2026-05-01,ai,7000.0,7300.0,7209.0,,,7152.0,7168.0,7114.0,7092.0,alternative,Breakout Rally Continuation,Hold > 7209 and push through 7287.0 (Upside Expected Move Target) after 11:30 ET catalyst,"WAIT for Atlanta Fed GDPNow (11:30 ET) before entry. If GDPNow prints bullish and ES sustains above 7287.0, deploy a call debit spread targeting 7300 call wall as upper boundary; define risk on the spread width.",above,7209.0,bull_call_debit,7300.0,,,,
2026-05-01,ai,7000.0,7300.0,7209.0,,,7152.0,7168.0,7114.0,7092.0,neutral,Chop Inside Range,ES oscillates between 7000 (Put Wall) and 7300 (Call Wall) with no sustained break post-11:30 ET,"WAIT for Atlanta Fed GDPNow (11:30 ET) before entry. Deploy an iron condor with short strikes near 7000 and 7300, collecting premium in the compressed positive-gamma environment; manage delta at 7150 GEX Flip level if ES drifts toward it.",between,,iron_condor,,,7000.0,7300.0,7000.0
2026-05-04,ai,7000.0,7300.0,7230.0,,,7244.0,7279.0,7150.0,7091.0,primary,Rangebound Mean-Reversion,Holding between 7000 and 7300 (positive gamma dampening),"Favor iron condors selling the 7000 put wall and 7300 call wall as wings. With ES at 7230 and positive gamma in effect, sell call-side credit spreads near R2 (7279) and put-side credit spreads near S1 (7150) to collect premium in a compressed range.",between,,iron_condor,,,7000.0,7300.0,
2026-05-04,ai,7000.0,7300.0,7230.0,,,7244.0,7279.0,7150.0,7091.0,alternative,Breakout Rally Attempt,Sustained hold > 7279 (R2) with acceptance above 7300 Call Wall,"If ES clears and holds above 7300, initiate a bull call debit spread targeting the 7316 upside expected move reach. Structure as a defined-risk vertical (e.g., 7300/7350 call spread) to capture dealer-driven upside momentum should the call wall be breached.",above,7279.0,bull_call_debit,7316.0,,,,
2026-05-04,ai,7000.0,7300.0,7230.0,,,7244.0,7279.0,7150.0,7091.0,neutral,Chop Inside Range,ES oscillates between 7000 Put Wall and 7300 Call Wall without sustained directional conviction,"Deploy an iron condor with short strikes at 7150 (S1) and 7279 (R2), with protective wings at 7000 and 7300. Positive gamma suppresses vol, making premium decay the primary edge; target 30–40% profit and manage delta exposure actively if ES drifts toward either wall.",between,,iron_condor,,,7000.0,7300.0,7150.0
2026-05-05,ai,7000.0,7300.0,7201.0,,,7259.0,7287.0,7215.0,7201.0,primary,Bullish Mean Reversion,Holding > 7150 (GEX Flip) after JOLTs at 10:00 ET,"WAIT for JOLTs resolution before entry. In positive gamma, price is drawn toward the 7259 R1 midpoint range — favor bull call debit spreads targeting 7259 with defined risk below 7150.",above,7150.0,bull_call_debit,7259.0,,,,
2026-05-05,ai,7000.0,7300.0,7201.0,,,7259.0,7287.0,7215.0,7201.0,alternative,Breakdown Toward Flip,Break < 7150 (GEX Flip) post-JOLTs with confirmation,WAIT for JOLTs at 10:00 ET before entry. A sustained break below 7150 opens downside toward 7121 expected move target — use bear put debit spreads or put verticals with strikes anchored at 7150 and 7000 as the floor.,below,7150.0,bear_put_debit,7121.0,7000.0,,,
2026-05-05,ai,7000.0,7300.0,7201.0,,,7259.0,7287.0,7215.0,7201.0,neutral,Rangebound Chop,Oscillating between 7000 (Put Wall) and 7300 (Call Wall) with no directional conviction post-JOLTs,"WAIT for JOLTs at 10:00 ET — if price remains pinned inside the 7000–7300 range, positive gamma dampens moves. Deploy an iron condor selling the 7000 put side and 7300 call side with defined risk wings, targeting premium decay in the compressed range.",between,,iron_condor,,,7000.0,7300.0,
2026-05-06,ai,7150.0,7300.0,7259.0,,,7239.0,7277.0,7168.0,7136.0,primary,Rangebound Compression,Holding between 7150 and 7300 (Positive Gamma Dampening),"Positive gamma pins price between Put Wall 7150 and Call Wall 7300. Sell an iron condor with short strikes near 7150/7300, collect premium as dealer hedging suppresses directional moves.",between,,iron_condor,,,7150.0,7300.0,7150.0
2026-05-06,ai,7150.0,7300.0,7259.0,,,7239.0,7277.0,7168.0,7136.0,alternative,Breakout Rally Continuation,"Sustained hold > 7300 (Call Wall breach, upside target 7335.0)","A clean close above 7300 shifts dealers to forced upside chasing. Deploy a call debit spread targeting 7335.0, buying the 7300 strike and selling the 7335 strike to cap cost.",above,7300.0,bull_call_debit,7335.0,7335.0,,,
2026-05-06,ai,7150.0,7300.0,7259.0,,,7239.0,7277.0,7168.0,7136.0,neutral,Pullback Mean-Reversion,"Break < 7239 (R1 failure, retest toward S1 7168.0)","Failure to hold R1 at 7239 invites a drift back toward S1 7168 inside the positive gamma range. Use a put credit spread selling the 7168 put and buying the 7136 put, fading the dip with defined risk.",below,7239.0,put_credit,7168.0,,,,
2026-05-07,ai,7300.0,7400.0,7365.0,,,7277.0,7295.0,7237.0,7216.0,primary,Mean Reversion Fade,Holding < 7400 after 08:30 ET Productivity data,"WAIT for Nonfarm Productivity release before entry. In positive gamma, fade the overnight gap extension toward 7300 Put Wall. Use a bear call credit spread (7400/7450) or bull put credit spread anchored at 7300 to collect premium inside the range.",below,7400.0,put_credit,7300.0,,,,
