section,key,value
context_row,2026-06-18,date=2026-06-18|dow=Thu|event=|gap_pct=0.91|prior_ret=-1.21|prior_range=1.75|prior2_ret=-0.57|vix_prior=18.44|vix_chg=2.03|em_pts=86.2|cr_eodic_c=11.5|cr_eodic_p=0.1|ic_pnl=1292.0|fly_pnl=885.0|puts_band_pnl=127.0|next_ret=-0.37
trade_row,eodic_p/vix252,date=2026-06-17|strat=eodic_p|method=vix252|center=7511.35|em=77.6|short_k=7435.0|long_k=7410.0|credit=1.6|exit_kind=stop|exit_val=17.8|pnl=-1626.52|note=
trade_row,eodic_p/vix365,date=2026-06-17|strat=eodic_p|method=vix365|center=7511.35|em=64.5|short_k=7445.0|long_k=7420.0|credit=1.95|exit_kind=stop|exit_val=15.2|pnl=-1331.52|note=
trade_row,eodic_p/straddle,date=2026-06-17|strat=eodic_p|method=straddle|center=7511.35|em=47.4|short_k=7465.0|long_k=7440.0|credit=3.1|exit_kind=stop|exit_val=18.1|pnl=-1506.52|note=
trade_row,eodic_c/vix252,date=2026-06-17|strat=eodic_c|method=vix252|center=7511.35|em=77.6|short_k=7590.0|long_k=7615.0|credit=1.7|exit_kind=settle|exit_val=0.0|pnl=166.74|note=
trade_row,eodic_c/vix365,date=2026-06-17|strat=eodic_c|method=vix365|center=7511.35|em=64.5|short_k=7575.0|long_k=7600.0|credit=2.95|exit_kind=settle|exit_val=0.0|pnl=291.74|note=
trade_row,eodic_c/straddle,date=2026-06-17|strat=eodic_c|method=straddle|center=7511.35|em=47.4|short_k=7560.0|long_k=7585.0|credit=4.6|exit_kind=settle|exit_val=0.0|pnl=456.74|note=
trade_row,openic_p/vix252,date=2026-06-17|strat=openic_p|method=vix252|center=7524.5|em=77.6|short_k=7445.0|long_k=7420.0|credit=2.1|exit_kind=stop|exit_val=15.2|pnl=-1316.52|note=
trade_row,openic_p/vix365,date=2026-06-17|strat=openic_p|method=vix365|center=7524.5|em=64.5|short_k=7460.0|long_k=7435.0|credit=3.0|exit_kind=stop|exit_val=17.3|pnl=-1436.52|note=
trade_row,openic_p/straddle,date=2026-06-17|strat=openic_p|method=straddle|center=7524.5|em=47.4|short_k=7475.0|long_k=7450.0|credit=4.1|exit_kind=stop|exit_val=14.3|pnl=-1026.52|note=
trade_row,openic_c/vix252,date=2026-06-17|strat=openic_c|method=vix252|center=7524.5|em=77.6|short_k=7600.0|long_k=7625.0|credit=0.85|exit_kind=settle|exit_val=0.0|pnl=81.74|note=
trade_row,openic_c/vix365,date=2026-06-17|strat=openic_c|method=vix365|center=7524.5|em=64.5|short_k=7590.0|long_k=7615.0|credit=1.35|exit_kind=settle|exit_val=0.0|pnl=131.74|note=
trade_row,openic_c/straddle,date=2026-06-17|strat=openic_c|method=straddle|center=7524.5|em=47.4|short_k=7570.0|long_k=7595.0|credit=2.8|exit_kind=settle|exit_val=0.0|pnl=276.74|note=
